----- Results -----
1. chris_hemsworth\chris_hemsworth13.png -> chris_hemsworth
2. chris_hemsworth\chris_hemsworth14.png -> chris_hemsworth
3. chris_hemsworth\chris_hemsworth15.png -> chris_hemsworth
4. chris_hemsworth\chris_hemsworth28.png -> chris_hemsworth
5. chris_hemsworth\chris_hemsworth29.png -> chris_hemsworth
6. chris_hemsworth\chris_hemsworth32.png -> chris_hemsworth
7. chris_hemsworth\chris_hemsworth33.png -> chris_hemsworth
8. chris_hemsworth\chris_hemsworth34.png -> chris_hemsworth
9. chris_hemsworth\chris_hemsworth35.png -> chris_hemsworth
10. chris_hemsworth\chris_hemsworth39.png -> chris_hemsworth
11. chris_hemsworth\chris_hemsworth53.png -> chris_hemsworth
12. chris_hemsworth\chris_hemsworth8.png -> chris_hemsworth
13. mark_ruffalo\mark_ruffalo17.png -> mark_ruffalo
14. mark_ruffalo\mark_ruffalo18.png -> mark_ruffalo
15. mark_ruffalo\mark_ruffalo19.png -> mark_ruffalo
16. mark_ruffalo\mark_ruffalo36.png -> mark_ruffalo
17. mark_ruffalo\mark_ruffalo37.png -> mark_ruffalo
18. mark_ruffalo\mark_ruffalo38.png -> mark_ruffalo
19. mark_ruffalo\mark_ruffalo47.png -> mark_ruffalo
20. mark_ruffalo\mark_ruffalo59.png -> mark_ruffalo
21. mark_ruffalo\mark_ruffalo60.png -> mark_ruffalo
22. mark_ruffalo\mark_ruffalo61.png -> mark_ruffalo
23. mark_ruffalo\mark_ruffalo62.png -> mark_ruffalo
24. mark_ruffalo\mark_ruffalo66.png -> mark_ruffalo
25. robert_downey_jr\robert_downey_jr13.png -> robert_downey_jr
26. robert_downey_jr\robert_downey_jr21.png -> robert_downey_jr
27. robert_downey_jr\robert_downey_jr22.png -> robert_downey_jr
28. robert_downey_jr\robert_downey_jr25.png -> robert_downey_jr
29. robert_downey_jr\robert_downey_jr36.png -> robert_downey_jr
30. robert_downey_jr\robert_downey_jr39.png -> unknown
31. robert_downey_jr\robert_downey_jr41.png -> robert_downey_jr
32. robert_downey_jr\robert_downey_jr42.png -> robert_downey_jr
33. robert_downey_jr\robert_downey_jr43.png -> robert_downey_jr
34. robert_downey_jr\robert_downey_jr44.png -> robert_downey_jr
35. robert_downey_jr\robert_downey_jr45.png -> unknown
36. robert_downey_jr\robert_downey_jr51.png -> robert_downey_jr
37. scarlett_johansson\scarlett_johansson25.png -> scarlett_johansson
38. scarlett_johansson\scarlett_johansson27.png -> scarlett_johansson
39. scarlett_johansson\scarlett_johansson28.png -> scarlett_johansson
40. scarlett_johansson\scarlett_johansson31.png -> scarlett_johansson
41. scarlett_johansson\scarlett_johansson32.png -> scarlett_johansson
42. scarlett_johansson\scarlett_johansson33.png -> scarlett_johansson
43. scarlett_johansson\scarlett_johansson34.png -> scarlett_johansson
44. scarlett_johansson\scarlett_johansson35.png -> scarlett_johansson
45. scarlett_johansson\scarlett_johansson37.png -> scarlett_johansson
46. scarlett_johansson\scarlett_johansson40.png -> scarlett_johansson
47. scarlett_johansson\scarlett_johansson41.png -> scarlett_johansson
48. scarlett_johansson\scarlett_johansson42.png -> scarlett_johansson
49. unknown\chris_evans29.png -> unknown
50. unknown\chris_evans30.png -> unknown
51. unknown\chris_evans31.png -> unknown
52. unknown\chris_evans32.png -> unknown
53. unknown\chris_evans33.png -> unknown
54. unknown\chris_evans35.png -> unknown
55. unknown\chris_evans36.png -> unknown
56. unknown\chris_evans37.png -> unknown
57. unknown\chris_evans38.png -> unknown
58. unknown\chris_evans39.png -> unknown
59. unknown\chris_evans48.png -> unknown
60. unknown\chris_evans49.png -> unknown

----- Stats -----
Test count - 60
Predicted count - 58
Percentage - 96.67
